V200001,V162031x,V162062x
214502,1,2
227065,1,2
223346,0,-2
221968,0,-2
236113,1,1
235011,1,2
219736,1,1
209173,1,2
206778,1,4
210982,1,2
225939,0,-2
235387,1,1
235981,1,1
222763,1,1
226345,0,-2
204963,1,2
219200,1,2
235936,0,-2
217501,1,1
225748,-2,-2
233619,1,1
235189,1,1
202738,0,-2
225885,1,2
234032,1,1
229894,1,2
206907,1,2
234728,1,3
223223,1,2
212421,1,1
223094,1,2
235615,1,1
215116,1,2
221319,1,2
226413,0,-2
215918,1,2
215352,0,-2
217105,1,1
207252,1,2
216614,1,2
208385,1,1
205379,1,1
219897,1,2
232098,0,-2
232692,1,1
200381,1,1
232036,1,1
221951,1,2
223872,1,5
233220,1,2
215222,1,2
229078,1,1
228969,1,1
212490,1,1
231675,1,1
202929,1,1
200770,1,1
223377,-2,-2
213776,1,2
235707,1,2
228259,1,2
224585,1,1
204475,1,1
230078,1,2
216508,1,2
223766,1,1
223216,1,3
217709,1,2
231767,-2,-2
218603,1,2
218818,0,-2
204888,1,1
214427,0,-2
231859,1,1
234803,0,-2
207764,0,-2
214724,1,2
231781,1,1
230504,1,2
200220,1,1
205775,1,2
222312,1,2
231927,1,1
225731,1,2
218955,1,2
234025,0,-2
206532,1,2
227270,1,2
219095,1,2
234063,0,-2
224257,-2,-2
216591,1,2
223520,1,1
233428,1,1
201001,1,2
231255,-2,-2
230061,1,2
215024,-2,-2
210463,1,1
236229,1,1
231064,0,-2
203113,1,2
227867,0,-2
206280,-2,-2
205362,1,1
207160,1,2
201124,1,3
207108,1,5
214779,1,2
229085,1,1
207207,0,-2
235035,1,1
219040,1,2
235684,1,2
227812,1,2
210173,1,5
208927,1,1
222916,1,2
203342,0,-2
218320,1,1
201216,1,2
234742,1,1
206921,1,2
227720,1,1
207559,1,1
221999,1,1
200268,0,-2
226970,1,1
231576,-2,-2
213141,0,-2
231408,1,1
236427,1,1
225410,1,2
205133,1,1
211848,1,2
204437,1,4
227256,1,1
221357,0,-2
202783,1,2
200763,1,1
235974,1,-2
206730,1,1
210852,1,2
229559,1,2
217556,1,1
222558,1,1
211275,1,2
220385,1,2
212063,1,2
204734,1,2
222671,1,4
209425,1,2
218382,1,2
235660,1,-2
221494,0,-2
205560,1,3
209647,1,1
230689,1,2
210913,0,-2
204574,1,2
